Fecha de reporte ,Sexo,Grupo de Edad,Nacionalidad,Fecha de desaparicion,Entidad de desaparicion,Municipio/Alcadia de la desaparicion,Estatus,Fecha de localizacion,Entidad de la localizacion
27/04/2020,HOMBRE,60-64 AÑOS,MEXICANA,25/04/2020,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,LOCALIZADO(A),29/04/2020,CIUDAD DE MEXICO
27/04/2020,MUJER,15-17 AÑOS,MEXICANA,26/04/2020,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),27/04/2020,CIUDAD DE MEXICO
27/04/2020,MUJER,30-34 AÑOS,MEXICANA,08/04/2020,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),20/04/2020,S/D
24/04/2020,HOMBRE,20-24 AÑOS,MEXICANA,19/04/2020,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
23/04/2020,HOMBRE,30-34 AÑOS,MEXICANA,08/04/2020,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),23/04/2020,S/D
23/04/2020,MUJER,15-17 AÑOS,MEXICANA,22/04/2020,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),26/04/2020,S/D
23/04/2020,HOMBRE,18-19 AÑOS,MEXICANA,15/04/2020,CIUDAD DE MEXICO,IZTACALCO,DESAPARECIDO(A),,
23/04/2020,HOMBRE,35-39 AÑOS,MEXICANA,01/04/2020,QUERETARO,QUERETARO,LOCALIZADO(A),28/04/2020,S/D
23/04/2020,HOMBRE,15-17 AÑOS,MEXICANA,21/04/2020,ESTADO DE MEXICO,NEZAHUALCOYOTL,LOCALIZADO(A),23/04/2020,CIUDAD DE MEXICO
22/04/2020,HOMBRE,55-59 AÑOS,MEXICANA,18/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),23/04/2020,S/D
21/04/2020,HOMBRE,18-19 AÑOS,MEXICANA,21/04/2019,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
20/04/2020,HOMBRE,10-14 AÑOS,MEXICANA,19/04/2020,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),20/04/2020,CIUDAD DE MEXICO
19/04/2020,MUJER,25-29 AÑOS,MEXICANA,18/04/2020,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),19/04/2020,S/D
17/04/2020,HOMBRE,10-14 AÑOS,MEXICANA,17/04/2020,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),18/04/2020,CIUDAD DE MEXICO
17/04/2020,HOMBRE,10-14 AÑOS,MEXICANA,31/03/2020,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),27/04/2020,S/D
17/04/2020,MUJER,15-17 AÑOS,MEXICANA,12/04/2020,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),04/06/2020,S/D
17/04/2020,MUJER,15-17 AÑOS,MEXICANA,15/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),16/04/2020,CIUDAD DE MEXICO
15/04/2020,HOMBRE,30-34 AÑOS,MEXICANA,06/02/2020,CIUDAD DE MEXICO,COYOACAN,DESAPARECIDO(A),,
15/04/2020,MUJER,20-24 AÑOS,S/D,07/12/2019,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
15/04/2020,MUJER,45-49 AÑOS,MEXICANA,07/12/2019,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
15/04/2020,MUJER,15-17 AÑOS,MEXICANA,09/05/2018,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A), 2/06/2019,CIUDAD DE MEXICO
14/04/2020,HOMBRE,55-59 AÑOS,MEXICANA,13/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),14/04/2020,CIUDAD DE MEXICO
14/04/2020,MUJER,10-14 AÑOS,MEXICANA,10/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),15/04/2020,CIUDAD DE MEXICO
13/04/2020,MUJER,10-14 AÑOS,MEXICANA,12/04/2020,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),14/04/2020,S/D
13/04/2020,MUJER,15-17 AÑOS,MEXICANA,12/04/2020,S/D,S/D,LOCALIZADO(A),13/04/2020,S/D
13/04/2020,MUJER,40-44 AÑOS,MEXICANA,10/04/2020,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),12/04/2020,CIUDAD DE MEXICO
13/04/2020,HOMBRE,65-69 AÑOS,MEXICANA,09/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),12/04/2020,CIUDAD DE MEXICO
10/04/2020,HOMBRE,15-17 AÑOS,MEXICANA,03/04/2020,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),09/04/2023,S/D
09/04/2020,HOMBRE,20-24 AÑOS,MEXICANA,16/03/2020,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
